week,rank,title,artist,spotify_id,danceability,energy,tempo,valence,speechiness,acousticness,instrumentalness,liveness,loudness,key,mode,genre
2025-01-05,56,Hey Now,Kendrick Lamar Featuring Dody6,6g6W3pMAFbp2FS1QCijkpM,0.562,0.365,100.028,0.248,0.441,0.116,1.64e-06,0.934,-17.883,2.0,1.0,hip hop
2025-01-05,57,Help Me,Real Boston Richey,487JCvAXVblflZyDJn3fSp,0.749,0.709,78.53,0.564,0.259,0.155,0.0,0.329,-6.385,6.0,1.0,
2025-01-05,58,Residuals,Chris Brown,6txAWGckgEGJIhLjhNdtE9,0.58,0.645,114.905,0.171,0.0821,0.342,0.0,0.108,-7.793,6.0,0.0,r&b
2025-01-05,59,Am I Okay?,Megan Moroney,36wAwEkSDpNQ4oQeRLYC3L,0.593,0.734,125.937,0.518,0.0514,0.02,0.0,0.138,-5.416,9.0,1.0,country
2025-01-05,60,Diamond Boy (DTM),SZA,0SCIwbS0Q4etwJmDyNjHaQ,0.642,0.374,133.041,0.397,0.048,0.827,0.000288,0.0997,-11.73,1.0,0.0,r&b
2025-01-05,61,I Ain't Sayin',Jordan Davis,7lCs3stpWCtAn5Y2lmnPhV,,,,,,,,,,,,country
2025-01-05,62,What Do I Do,SZA,0GxQ1A5L9xnMOytbP6eKBG,0.8,0.598,109.998,0.422,0.0617,0.0798,5.47e-06,0.1,-5.131,5.0,0.0,pop
2025-01-05,63,Heart Of A Woman,Summer Walker,2oVVaVY0LkzwAYYcyzon6Z,0.716,0.43,129.93,0.472,0.112,0.482,0.0,0.146,-8.28,9.0,0.0,r&b
2025-01-05,64,Another Life,SZA,4tfOoCcYPtb08J5HWlSo3r,0.332,0.45,215.338,0.357,0.045,0.68,8.83e-06,0.116,-8.664,7.0,1.0,r&b
2025-01-05,65,Bad Dreams,Teddy Swims,3nHuKdFJZm78CoeBnDcFKe,0.707,0.68,125.058,0.62,0.0884,0.274,0.0,0.0932,-6.203,8.0,1.0,
2025-01-05,66,No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz,0.328,0.631,85.262,0.382,0.0465,0.0714,0.0,0.567,-5.169,5.0,0.0,
2025-01-05,67,Empty Out Your Pockets,Juice WRLD,2QxekHjOYDnzNO5w8hu2D9,0.74,0.718,91.929,0.345,0.133,0.329,0.0,0.38,-6.278,8.0,0.0,melodic rap
2025-01-05,68,Dos Dias,Tito Double P & Peso Pluma,5lKFO0PrOC9jmOlPEdjHsL,0.745,0.513,109.935,0.929,0.087,0.783,0.0,0.216,-9.116,1.0,1.0,corrido
2025-01-05,69,Close To You,Gracie Abrams,5wbg8kepMFoMzHOEuxiI0q,0.586,0.72,121.927,0.302,0.0775,0.0236,0.000124,0.0925,-7.984,6.0,1.0,
2025-01-05,70,Popular,Ariana Grande,3i8fIJNV0yuC4kXT3SkVBZ,0.44,0.319,178.329,0.47,0.166,0.732,0.0,0.0967,-12.356,5.0,1.0,pop
2025-01-05,71,Crybaby,SZA,1g7pFO1WtclKCuIQiS8sNM,0.252,0.482,179.603,0.426,0.0395,0.658,0.188,0.113,-9.817,1.0,1.0,r&b
