week,rank,title,artist,spotify_id
2025-01-12,9,I Had Some Help,Post Malone Featuring Morgan Wallen,7221xIgOnuakPdLqT0F3nP
2025-01-12,10,Espresso,Sabrina Carpenter,2qSkIjg1o9h3YT9RAgYN75
2025-01-12,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay,45J4avUb9Ni0bnETYaYFVJ
2025-01-12,12,Taste,Sabrina Carpenter,5G2f63n7IPVPPjfNIGih7Q
2025-01-12,13,Love Somebody,Morgan Wallen,7hR22TOX3RorxJPcsz5Wbo
2025-01-12,14,Beautiful Things,Benson Boone,6tNQ70jh4OwmPGpYy6R2o9
2025-01-12,15,Timeless,The Weeknd & Playboi Carti,0FIDCNYYjNvPVimz5icugS
2025-01-12,16,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future",4IKvw1OdeTJIN3g4zWE38f
2025-01-12,17,Too Sweet,Hozier,19XpFsce28aByvCC4g89tJ
2025-01-12,18,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne",3DLtPObflLQBodZN8qGODT
2025-01-12,19,Squabble Up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb
2025-01-12,20,Stargazing,Myles Smith,3Vr3zh0r7ALn8VLqCiRR10
2025-01-12,21,"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu
2025-01-12,22,30 For 30,SZA With Kendrick Lamar,3aSWXU6owkZeVhh94XxEWO
2025-01-12,23,Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3
2025-01-12,24,Messy,Lola Young,2YuUy4hBCVm4L5IRHu0iVl
2025-01-12,25,High Road,Koe Wetzel & jessie murph,73KAidtqbDftZjy8AD0H04
2025-01-12,26,Whatchu Kno About Me,Glorilla & Sexyy Red,5xeSd4HgzrYpNLEf3LfYLK
2025-01-12,27,Nuevayol,Bad Bunny,5TFD2bmFKGhoCRbX61nXY5
2025-01-12,28,Baile Inolvidable,Bad Bunny,2lTm559tuIvatlT1u0JYG2
2025-01-12,29,Tweaker,GELO,7HDq8aEtkBeZq7gfzYjW28
2025-01-12,30,Sailor Song,Gigi Perez,2262bWmqomIaJXwCRHr13j
2025-01-12,31,Wind Up Missin' You,Tucker Wetmore,3EO58D1YpHnTvBy68gK8HE
2025-01-12,32,Please Please Please,Sabrina Carpenter,5N3hjp1WNayUPZrA8kJmJP
2025-01-12,33,I Am Not Okay,Jelly Roll,3SaS0Va6o6jYkWvadT86C6
2025-01-12,34,BMF,SZA,3U3hFkMr0Q90pD24EkE3Pr
2025-01-12,35,Bed Chem,Sabrina Carpenter,3hppjCoD5ruwTaoyJ0J5Wh
2025-01-12,36,Voy A Llevarte Pa PR,Bad Bunny,59D4DOkspUbWyMmbAPQkxZ
2025-01-12,37,El Club,Bad Bunny,0iKo4pNNjHHdKUcFARlfCa
2025-01-12,38,DTMF,Bad Bunny,3sK8wGT43QFpWrvNQsrQya
2025-01-12,39,Who,Jimin,7tI8dRuH2Yc6RuoTjxo4dU
2025-01-12,40,Million Dollar Baby,Tommy Richman,5AJ9hqTS2wcFQCELCFRO7A
2025-01-12,41,Wildflower,Billie Eilish,3QaPy1KgI7nu9FJEQUgn6h
2025-01-12,42,Lies Lies Lies,Morgan Wallen,1KL0yUBT1U2PfVUWIhWL7l
2025-01-12,43,Velda,"Bad Bunny, Omar Courtz & Dei V",7d6yK8v8J484SWH5prIQiE
2025-01-12,44,By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave,1L80MuaEffNuY1eLyk1v2w
2025-01-12,45,Perfumito Nuevo,Bad Bunny & RaiNao,1Q9Efnm5csdCMFynISxL2x
2025-01-12,46,Like Him,"Tyler, the Creator Featuring Lola Young",72NMPuJCRsOUoXQJdzVfdo
2025-01-12,47,Pink Pony Club,Chappell Roan,6393yGahSJ9slVdOwSxOVR
2025-01-12,48,No One Noticed,The Marias,3siwsiaEoU4Kuuc9WKMUy5
2025-01-12,49,Liar,Jelly Roll,0llPOBVoJYDAtdmVlNE41A
2025-01-12,50,Outfit,Lil Baby & 21 Savage,6B2FtBtIds4rqeLPTW0D76
2025-01-12,51,Stuff,Lil Baby Featuring Travis Scott,4vqwVaEqLNWo3UXhQi5IFH
2025-01-12,52,Weltita,Bad Bunny & Chuwi,5WEF0icHWmAZBBMglBd599
2025-01-12,53,Redbone,Lil Baby & Glorilla,5PCOOngROV9jWsUViSy4Ed
2025-01-12,54,EOO,Bad Bunny,6J5kc12BW5HuP3d7C3vvx8
2025-01-12,55,I Never Lie,Zach Top,3t6gUcGYLrUuqwpXjOFWQc
2025-01-12,56,I'm Gonna Love You,Cody Johnson & Carrie Underwood,08wyXJO5ZcqloLYbpufenQ
2025-01-12,57,F U 2x,Lil Baby,2ubNuGSCWRRxUfojPRebiA
2025-01-12,58,4x4xU,Lainey Wilson,2z865bsdfckaBVck8MSAm8
2025-01-12,59,Ketu Tecre,Bad Bunny,4c2Pc0NrfkesPR0jff6q3F
2025-01-12,60,Pitorro de Coco,Bad Bunny,14QaXYIK3K3QPtezqxRRPN
2025-01-12,61,Indigo,Sam Barber Featuring Avery Anna,1o6cYDMHvKOfizi4d9Lqxr
2025-01-12,62,Loco,Neton Vega,4eLDmhsJW3JoZTXCAozHor
2025-01-12,63,It's Ok I'm Ok,Tate McRae,24XihnoVPWXlKJ4BgXqjVM
2025-01-12,64,Good News,Shaboozey,54p6vNJwGkt4FTaM8SCsxt
2025-01-12,65,Listen Up,Lil Baby,4iGqt48gNNqspw8VN8EKgP
2025-01-12,66,Kloufrens,Bad Bunny,4MUrUT38U98olfnyzMBCzm
2025-01-12,67,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,5QMrH5nszZZR3nefIj6Mar
2025-01-12,68,Tu Boda,Oscar Maydon & Fuerza Regida,1cOboCuWYI2osTOfolMRS6
2025-01-12,69,Bokete,Bad Bunny,79x7xtoCLpf6l32Zz6mWo4
2025-01-12,70,Scorsese Baby Daddy,SZA,2E7a96qey4AzSOdK6H21vS
2025-01-12,71,I Promise,Lil Baby,0HBqoVCPtB8VkFOixWrBS3
2025-01-12,72,Que Pasaria...,Rauw Alejandro & Bad Bunny,0l0vcZMU7AOeQmUIREoI2U
2025-01-12,73,Due 4A Win,Lil Baby,0icIjOb3QHklvGBaR7woTP
2025-01-12,74,So Sorry,Lil Baby,5wwy9GjFxOFMV8IO6Xdf8h
2025-01-12,75,Think I'm In Love With You,Chris Stapleton,3Gn1zuHNLtGuGEOXwq0k7e
2025-01-12,76,Denial Is A River,Doechii,2A2YfuPzQoQUIcGe0C4SVD
2025-01-12,77,Turista,Bad Bunny,7tCuCjhxzjX2XCz4JiiAsp
2025-01-12,78,Guy For That,Post Malone Featuring Luke Combs,6r5o9yIc16ZvymXUKJQ1yy
2025-01-12,79,Residuals,Chris Brown,6txAWGckgEGJIhLjhNdtE9
2025-01-12,80,No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz
2025-01-12,81,I Ain't Sayin',Jordan Davis,7lCs3stpWCtAn5Y2lmnPhV
2025-01-12,82,Am I Okay?,Megan Moroney,36wAwEkSDpNQ4oQeRLYC3L
