week,rank,title,artist
2025-01-19,47,Please Please Please,Sabrina Carpenter
2025-01-19,48,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta
2025-01-19,49,Wildflower,Billie Eilish
2025-01-19,50,Pitorro de Coco,Bad Bunny
2025-01-19,51,La Mudanza,Bad Bunny
2025-01-19,52,Liar,Jelly Roll
2025-01-19,53,I Never Lie,Zach Top
2025-01-19,54,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-01-19,55,Pink Pony Club,Chappell Roan
2025-01-19,56,Loco,Neton Vega
2025-01-19,57,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-01-19,58,Indigo,Sam Barber Featuring Avery Anna
2025-01-19,59,Are You Even Real,Teddy Swims & GIVEON
2025-01-19,60,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-01-19,61,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future"
2025-01-19,62,Lo Que Le Paso A Hawaii,Bad Bunny
2025-01-19,63,4x4xU,Lainey Wilson
2025-01-19,64,Bad Dreams,Teddy Swims
2025-01-19,65,Denial Is A River,Doechii
2025-01-19,66,Tu Boda,Oscar Maydon & Fuerza Regida
2025-01-19,67,Good News,Shaboozey
2025-01-19,68,Think I'm In Love With You,Chris Stapleton
2025-01-19,69,Guy For That,Post Malone Featuring Luke Combs
2025-01-19,70,I Ain't Sayin',Jordan Davis
2025-01-19,71,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
2025-01-19,72,No Pole,Don Toliver
2025-01-19,73,It's Ok I'm Ok,Tate McRae
2025-01-19,74,Am I Okay?,Megan Moroney
2025-01-19,75,Scorsese Baby Daddy,SZA
2025-01-19,76,Residuals,Chris Brown
2025-01-19,77,Heart Of A Woman,Summer Walker
2025-01-19,78,Help Me,Real Boston Richey
2025-01-19,79,Peekaboo,Kendrick Lamar Featuring AzChike
2025-01-19,80,Diet Pepsi,Addison Rae
2025-01-19,81,Popular,Ariana Grande
2025-01-19,82,Boys Back Home,Dylan Marlowe & Dylan Scott
2025-01-19,83,Stuff,Lil Baby Featuring Travis Scott
2025-01-19,84,Rosones,Tito Double P
2025-01-19,85,Nadie,Tito Double P
2025-01-19,86,Khe?,Rauw Alejandro & Romeo Santos
2025-01-19,87,Dos Dias,Tito Double P & Peso Pluma
2025-01-19,88,Hey Now,Kendrick Lamar Featuring Dody6
2025-01-19,89,By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave
2025-01-19,90,Burning Down,Alex Warren
2025-01-19,91,Bigger Houses,Dan + Shay
2025-01-19,92,The Largest,BigXthaPlug
2025-01-19,93,Drive,SZA
2025-01-19,94,F U 2x,Lil Baby
2025-01-19,95,25,Rod Wave
2025-01-19,96,Dancing In The Flames,The Weeknd
2025-01-19,97,The Days,CHRYSTAL
2025-01-19,98,Outfit,Lil Baby & 21 Savage
2025-01-19,99,Forever Young,"David Guetta, Alphaville & Ava Max"
2025-01-19,100,Headlock,Imogen Heap
2025-01-26,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-01-26,2,DTMF,Bad Bunny
2025-01-26,3,APT.,ROSE & Bruno Mars
2025-01-26,4,A Bar Song (Tipsy),Shaboozey
2025-01-26,5,Luther,Kendrick Lamar & SZA
2025-01-26,6,Birds Of A Feather,Billie Eilish
2025-01-26,7,Lose Control,Teddy Swims
2025-01-26,8,That's So True,Gracie Abrams
2025-01-26,9,Baile Inolvidable,Bad Bunny
2025-01-26,10,Love Somebody,Morgan Wallen
2025-01-26,11,Espresso,Sabrina Carpenter
2025-01-26,12,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-01-26,13,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-01-26,14,Taste,Sabrina Carpenter
2025-01-26,15,Nuevayol,Bad Bunny
2025-01-26,16,Beautiful Things,Benson Boone
2025-01-26,17,Timeless,The Weeknd & Playboi Carti
2025-01-26,18,Smile,Morgan Wallen
2025-01-26,19,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-01-26,20,Too Sweet,Hozier
2025-01-26,21,Squabble Up,Kendrick Lamar
2025-01-26,22,Stargazing,Myles Smith
2025-01-26,23,30 For 30,SZA With Kendrick Lamar
2025-01-26,24,Messy,Lola Young
2025-01-26,25,Who,Jimin
2025-01-26,26,Voy A Llevarte Pa PR,Bad Bunny
2025-01-26,27,"Good Luck, Babe!",Chappell Roan
2025-01-26,28,High Road,Koe Wetzel & jessie murph
2025-01-26,29,Not Like Us,Kendrick Lamar
2025-01-26,30,EOO,Bad Bunny
2025-01-26,31,BMF,SZA
2025-01-26,32,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-01-26,33,Sailor Song,Gigi Perez
2025-01-26,34,Velda,"Bad Bunny, Omar Courtz & Dei V"
2025-01-26,35,Bed Chem,Sabrina Carpenter
2025-01-26,36,El Club,Bad Bunny
2025-01-26,37,No One Noticed,The Marias
2025-01-26,38,Tweaker,GELO
2025-01-26,39,Weltita,Bad Bunny & Chuwi
2025-01-26,40,I Am Not Okay,Jelly Roll
2025-01-26,41,Liar,Jelly Roll
2025-01-26,42,Wildflower,Billie Eilish
2025-01-26,43,Loco,Neton Vega
2025-01-26,44,Perfumito Nuevo,Bad Bunny & RaiNao
2025-01-26,45,Please Please Please,Sabrina Carpenter
2025-01-26,46,Pink Pony Club,Chappell Roan
2025-01-26,47,Wind Up Missin' You,Tucker Wetmore
2025-01-26,48,I Never Lie,Zach Top
2025-01-26,49,Indigo,Sam Barber Featuring Avery Anna
2025-01-26,50,Kloufrens,Bad Bunny
